Lat,Lon,BP,CP,WP
-18.980003,46.681078,0,1,0
-27.5477,30.0232,0,0,0
-22.80203,35.268292,0,1,1
-17.984253,36.795087,0,1,0
-18.137,29.4347,0,0,1
-18.025873,36.846685,1,1,0
1.501598,31.535127,1,1,0
-18.1141,29.4552,0,0,0
-18.042857,36.797743,0,1,0
-13.373618,35.459798,0,1,0
-11.099628,35.130199,0,1,0
-13.128398,28.437565,1,1,0
8.60079,34.985012,0,1,0
5.415528,-0.736547,0,0,1
-2.645568,39.578979,0,0,1
10.880117,-2.620427,0,1,0
6.755363,-1.295707,0,0,1
8.158693,9.93064,0,1,0
-17.7845,31.8373,0,0,0
-6.86511,34.181694,0,0,0
-23.011145,26.417994,0,1,0
-24.190955,34.40507,0,0,1
5.282367,10.229137,0,0,1
5.297223,10.266822,1,1,0
-16.113185,28.268207,0,0,0
-8.067685,37.316586,0,0,0
-13.065403,28.473107,1,1,0
8.101377,9.921948,0,1,0
-12.34284,15.175478,0,1,0
-2.671965,39.554768,0,0,0
-29.9279,22.7819,0,0,0
8.146075,9.884018,0,0,1
5.255457,10.267777,0,0,0
8.128393,9.910415,0,1,0
-6.05855,36.490952,0,0,0
8.106388,9.903975,0,1,0
14.777712,-10.98879,1,1,0
-16.225095,14.89889,0,0,0
10.908013,-2.681893,0,1,0
-13.068367,28.515947,0,0,0
-21.7522,26.4592,0,0,1
11.901328,-13.173877,0,0,0
12.451908,-6.288508,0,1,0
6.695832,-1.306978,0,0,1
-19.3415,22.0791,0,0,1
-0.104105,39.015121,0,0,0
10.898828,-3.513665,0,1,0
-19.410165,28.794548,0,0,0
-29.7684,23.9145,0,0,0
-15.935597,35.309668,0,1,0
-11.636035,34.225515,0,1,0
-0.102418,38.988918,0,0,0
0.514325,32.305157,0,1,1
-22.80366,35.312842,0,1,1
-19.3686,22.0829,0,0,1
9.217247,5.73423,0,0,0
-16.116287,38.986128,0,1,0
-21.749,26.5039,0,0,0
-16.041433,28.287838,0,1,0
-14.723602,39.863178,0,0,0
1.501578,31.512833,1,1,0
-2.645968,39.513256,0,0,0
-7.340812,15.719097,0,0,0
11.30869,8.175328,0,1,0
11.34667,8.194857,0,1,0
-9.13654,29.6744,0,0,1
-6.88353,36.09074,0,0,0
14.836482,-7.809873,0,0,0
6.742817,4.643857,0,0,1
-18.2793,48.7545,0,0,1
-17.8301,31.8726,0,0,1
-29.816,23.9757,0,0,0
-17.7865,31.9016,0,1,0
5.232845,10.226835,1,1,1
-14.700968,39.861442,0,1,0
-6.88444,36.166988,0,0,1
4.194902,38.258347,0,0,0
-15.950953,35.338882,0,1,0
-13.414135,35.487403,0,1,0
11.309317,8.19152,0,1,0
6.758818,-1.269927,0,0,1
7.02543,9.366843,0,1,0
-11.610358,34.250548,1,0,0
9.635978,42.691422,0,0,0
-0.129948,38.991169,0,0,0
8.10135,9.867402,0,1,0
-8.025553,37.317062,0,0,0
7.004043,9.332265,1,1,0
-16.157083,38.956273,0,0,0
4.143862,38.25843,0,0,0
11.94213,-13.157495,0,0,0
7.0012,9.357102,0,1,0
-13.370752,35.504402,0,1,0
12.492743,-6.33263,0,0,0
-15.819795,26.16895,0,0,0
-18.978952,46.703312,0,1,0
-15.871185,26.163502,0,0,0
-27.5634,30.0408,0,0,0
-0.15258,39.018524,0,0,0
-16.088815,28.323333,0,1,0
-1.758102,35.845112,0,0,1
-24.240418,34.335203,0,0,1
-29.8323,23.9373,0,0,0
10.471982,-13.363063,0,0,0
4.160913,38.332561,0,0,0
4.178087,38.26189,0,0,0
6.68448,-1.28564,0,0,1
14.874513,-7.780065,0,0,0
-19.41344,28.733862,0,0,0
-15.905015,35.36222,0,1,0
9.615457,42.737804,0,1,0
-3.010068,33.065521,1,1,0
-22.875068,35.338582,0,1,1
-22.82643,35.336955,0,1,0
-6.87134,36.1579,0,0,1
-21.7707,26.526,0,0,1
11.283935,39.615223,0,0,0
0.515868,32.263542,0,1,0
14.854748,-7.80709,0,0,0
9.592545,42.708057,0,1,0
0.52496,32.332111,0,0,0
-3.0151,33.088543,1,1,0
1.524802,31.535093,0,1,0
10.9093,-2.65447,0,1,0
11.967822,-13.129793,0,0,0
-27.6131,30.045,0,0,0
-2.642183,39.550106,0,0,0
-11.590172,34.271927,0,1,1
11.311502,39.596409,0,1,0
12.472217,-6.326855,0,1,0
-19.3975,22.0256,0,0,1
-17.980348,36.825287,0,1,0
0.551317,32.266228,0,1,1
-0.154933,39.060013,0,0,0
0.510742,32.33942,1,1,0
9.566375,42.731781,0,0,0
-2.644163,39.536675,0,0,0
-8.041908,37.271683,0,0,1
14.821522,-11.032858,0,0,0
-13.424777,35.46136,0,1,0
5.377035,-0.726425,0,0,0
11.28078,8.123597,0,1,0
-19.3495,22.0128,0,0,0
10.923393,-3.57667,0,0,0
-9.14338,29.6314,0,0,1
-2.622082,39.532536,0,0,0
5.42006,-0.75521,0,0,0
11.35259,8.169905,0,1,1
-16.14783,39.003835,0,0,0
-16.044877,28.257427,0,0,0
-0.13617,39.034988,0,0,0
-18.066,29.4092,0,0,1
14.83139,-7.843868,0,0,0
8.603598,35.024567,0,0,0
10.950885,-3.513765,0,0,0
-0.106482,39.037678,0,0,0
13.371465,1.779663,0,0,0
-9.17906,29.6372,0,0,1
-15.897394,26.093142,0,1,0
-18.0683,29.4841,0,0,1
14.778188,-10.964785,0,0,0
-5.35679,37.509857,0,1,0
-19.3763,22.062,0,0,0
-11.615668,34.205038,0,1,0
-19.018352,46.675688,0,1,0
-16.20006,14.951287,0,0,1
-18.3172,48.6883,0,0,1
1.45866,31.466797,0,1,0
9.21169,5.715875,0,1,0
-14.681088,39.886058,0,1,0
6.728055,-1.284068,0,0,1
-27.5922,30.0235,0,0,1
-14.701545,39.883627,0,0,0
-29.9813,22.7623,0,0,0
10.87777,-2.661688,0,0,0
-11.751647,15.904305,0,0,0
-0.126043,38.990215,0,0,0
-13.434472,35.481447,1,1,0
-29.9345,22.7283,0,0,0
-11.728612,15.90537,0,0,0
-15.830405,26.121272,0,0,0
9.615043,42.665039,0,0,0
-16.1104,39.011138,0,0,0
-6.04693,36.443859,0,0,0
11.291462,8.145927,1,1,0
-5.308519,37.51255,0,0,1
-11.594628,34.206117,0,0,0
-22.869558,35.26938,0,1,0
-13.127745,28.517113,0,1,1
4.192768,38.306042,0,0,0
8.126678,9.880528,0,1,0
-21.7232,26.4957,0,0,0
11.304508,-5.532908,0,1,0
-21.7275,26.4797,0,0,0
-29.8379,23.9832,0,0,0
6.784243,4.627915,0,0,1
-27.5431,30.071,0,0,0
14.76583,-11.011,0,0,0
-29.7781,23.933,0,0,0
-16.198942,14.899182,0,0,0
10.941543,-3.539667,0,1,0
-18.142,29.4097,0,1,0
-22.830183,35.271288,1,1,0
8.15104,9.90334,0,1,0
-18.1381,29.4551,0,0,0
-13.101947,28.502998,0,1,0
5.413793,-0.780368,0,1,0
-29.9771,22.7788,0,0,0
-16.263547,14.930115,0,0,1
10.540488,-13.383278,0,0,0
-23.059378,26.457018,0,0,0
11.330287,8.124355,0,1,0
-6.93858,36.1244,0,0,0
-8.042358,37.313545,0,0,1
-3.060982,33.030663,1,1,0
10.860497,-2.632743,0,1,0
-29.8424,23.9545,0,0,0
-13.444412,35.527352,0,1,0
-11.0745,35.125401,0,1,0
-18.044112,36.823923,0,1,0
7.004857,9.30729,0,1,0
-21.7919,26.4815,0,0,0
13.367585,1.735377,0,0,0
5.279538,10.242555,0,1,0
-15.928517,35.367053,0,1,0
-3.029698,33.015202,0,1,0
11.283017,-5.486493,0,0,1
-9.2127,29.6294,0,0,1
8.65488,34.98785,0,1,0
4.193222,38.332199,0,0,0
-18.1315,29.4801,0,0,1
-21.7905,26.458,0,0,0
-24.216733,34.37512,0,0,1
-14.688842,39.843533,0,0,1
-6.853913,34.212799,0,0,0
-12.31856,15.174082,0,0,0
-2.623347,39.514359,0,0,0
-27.5684,30.0228,0,0,0
9.166867,5.69213,0,0,0
-3.007335,33.044964,0,1,0
-3.036195,33.091408,0,1,0
11.89474,-13.107555,0,0,1
-14.704728,39.913418,0,1,0
13.419078,1.786608,0,0,0
-6.93122,36.1357,0,0,0
-2.669812,39.537735,0,0,1
-12.339873,15.143603,0,0,0
-27.5868,30.0455,0,0,0
8.629852,34.983757,0,1,0
11.351895,-5.48847,0,1,0
-2.601027,39.56488,0,0,0
-19.006766,46.629129,0,1,0
-16.137698,39.00373,0,1,0
11.96197,-13.153175,0,0,1
-24.169548,34.32811,0,0,1
-6.904988,36.163395,0,0,1
-9.18747,29.7011,0,0,1
-2.619657,39.552685,0,0,0
-6.910832,36.116508,0,0,0
-18.0948,29.4155,0,0,1
11.950435,-13.112207,0,0,1
11.281258,39.577347,0,0,0
-3.038153,33.042397,0,1,0
4.21533,38.261177,0,0,0
-6.0906,36.50845,0,0,1
14.77008,-11.033153,0,0,0
-13.399045,35.500348,0,1,0
-13.372998,35.477417,0,1,0
-12.357305,15.216922,0,0,1
-15.946403,35.299007,0,1,0
-29.7978,23.9075,0,0,0
6.712507,-1.292857,0,0,1
-7.351243,15.687817,0,0,0
-19.3513,22.0571,0,0,1
-1.708445,35.841591,0,0,0
-21.7992,26.5087,0,0,0
-2.664698,39.514431,0,0,0
6.743878,4.68995,0,0,1
7.028182,9.335977,0,1,0
-16.155567,38.988252,0,1,0
14.83877,-11.011252,0,0,0
6.740218,-1.266893,0,1,1
-5.377933,37.515114,0,1,0
8.581855,34.998875,0,0,0
-13.418417,35.521103,0,1,0
6.765718,4.644377,0,0,1
12.514257,-6.280505,0,1,0
-5.311833,37.492508,0,0,1
6.977577,9.348373,1,1,0
-7.361312,15.737902,0,0,1
10.927998,-3.564085,0,0,0
10.932693,-2.682308,0,0,0
-0.109038,39.056541,0,0,0
0.564458,32.29327,0,1,0
9.188533,5.742303,0,0,1
-15.953162,35.321463,1,1,0
10.90277,-3.530618,0,0,0
-2.667312,39.576244,0,0,1
11.947127,-13.134832,0,0,0
-3.063745,33.010086,0,1,0
6.692002,-1.241593,0,1,1
7.046152,9.370495,1,1,0
-7.315528,15.740033,0,0,0
11.26763,39.616264,0,1,0
-29.7734,23.983,0,0,0
10.88871,-2.684622,0,1,0
-16.066365,28.326498,0,1,0
-27.602,30.06,0,0,0
6.79339,4.666762,0,0,1
-0.091448,39.064034,0,0,0
-0.127145,39.014431,0,0,0
9.166063,5.678097,0,0,0
-29.9066,22.7832,0,0,0
-19.373928,28.786663,0,0,0
10.929582,-2.637042,0,1,0
-29.815,23.9544,0,0,0
12.491103,-6.314947,0,0,1
11.329027,-5.466885,0,0,0
-12.297935,15.17505,0,1,0
-18.0749,29.4566,0,0,0
-29.9716,22.7325,0,0,0
-11.72477,15.94343,0,1,0
14.800267,-11.035792,0,1,0
-18.958817,46.658112,0,1,0
-7.372682,15.762953,0,0,0
-0.129155,39.010712,0,0,0
6.76124,4.692642,0,0,1
7.04311,9.33436,0,1,0
-16.1334,38.941133,0,1,0
-19.385353,28.725383,0,0,0
-8.005145,37.314617,0,0,0
-11.704137,15.88675,0,0,0
-21.7559,26.4813,0,0,0
1.526595,31.51443,0,1,0
-22.830515,35.31782,0,0,0
-19.4123,22.06,0,0,1
7.009002,9.378645,0,1,0
8.106908,9.881415,0,0,0
-14.750668,39.839635,0,0,0
-18.953984,46.68258,0,1,0
-5.362477,37.496891,0,0,1
-16.16296,38.941078,0,1,0
-18.111,29.485,0,0,1
13.393575,1.735128,0,1,0
10.493472,-13.361028,0,0,0
10.866278,-2.607243,0,1,0
-16.174468,39.005233,0,1,0
11.332955,8.173293,0,1,0
-17.998985,36.80058,0,1,0
7.03131,9.35504,0,1,0
-19.388597,28.749533,0,0,0
-8.070755,37.330627,0,0,0
-11.1051,35.172298,0,1,0
13.385682,1.798298,0,0,0
10.472017,-13.424075,0,0,0
-16.177478,38.936703,0,0,0
-14.7512,39.8859,0,1,0
-18.027872,36.819483,1,1,0
-15.857948,26.111965,0,0,0
11.272537,-5.513963,1,1,0
-16.050197,28.30818,0,1,0
-13.112812,28.485475,0,1,0
-1.747637,35.821182,0,0,0
14.806622,-10.98228,0,0,0
-29.9505,22.7371,0,0,0
-19.3952,22.039,0,0,0
-15.896971,26.115347,0,0,0
-15.90355,35.331828,1,1,0
13.404805,1.802672,0,0,0
-19.025504,46.706172,0,1,0
-17.977923,36.861702,0,1,0
-13.083158,28.44561,0,1,0
-14.708328,39.836117,0,1,1
-12.3554,15.161757,0,0,0
-24.215777,34.398345,0,0,1
-22.850423,35.273025,0,1,0
12.51337,-6.32173,1,1,0
-16.221305,14.945962,0,1,0
8.641408,35.024132,0,0,0
1.527395,31.469123,0,1,0
-18.2959,48.692,0,0,1
-18.2982,48.7534,0,0,0
4.207513,38.327602,0,0,0
-5.381047,37.445068,0,0,1
12.497847,-6.286193,0,1,0
5.261783,10.223367,0,1,0
-5.382455,37.469246,0,1,0
-1.74951,35.797489,0,0,0
-6.12214,36.5064,0,0,0
-3.009098,33.015381,0,1,0
-24.211818,34.344828,0,0,1
-17.8355,31.9065,0,0,0
-24.222723,34.331462,0,0,1
-6.930703,36.091824,0,0,0
-7.315182,15.691478,0,0,0
14.806713,-7.825015,0,0,0
-16.104588,28.324225,0,0,0
0.564657,32.333321,0,1,0
14.831302,-7.780153,0,0,0
10.491285,-13.380635,0,0,0
5.25533,10.28552,0,1,1
-16.269413,14.883505,0,1,0
9.636297,42.71965,0,1,0
-19.364412,28.771602,0,0,1
11.916007,-13.175328,0,0,1
-14.75414,39.857582,0,0,0
8.173905,9.888138,0,1,0
6.975993,9.33337,0,1,0
-16.066278,28.260995,0,0,0
-14.68552,39.864718,0,0,1
-12.30484,15.147417,0,0,1
-29.9487,22.7115,0,0,0
13.43786,1.777962,0,0,0
-1.706672,35.823856,0,0,0
-16.127287,38.955302,0,1,0
11.327787,8.192435,0,1,0
-18.951871,46.706503,0,1,0
5.398152,-0.751177,0,0,0
10.47709,-13.373638,0,1,0
-11.612757,34.222618,0,1,0
11.96982,-13.176293,0,0,1
11.907482,-13.15499,0,1,1
-16.11558,38.965452,0,0,0
-2.991458,33.077351,1,1,0
-6.05575,36.457722,0,0,0
-11.61,34.27014,1,1,0
-6.11749,36.4577,0,0,0
-18.953178,46.6373,0,1,0
-11.0794,35.1693,0,1,0
6.682327,-1.25978,0,0,1
-9.18553,29.6753,0,0,1
-24.242007,34.399773,0,0,1
-29.7687,23.9539,0,0,0
-24.195698,34.376633,0,0,1
1.473473,31.462007,0,1,0
-19.341,22.0368,0,0,0
-14.68274,39.90612,0,0,0
12.450307,-6.327395,0,1,0
-24.243575,34.350642,0,0,1
-19.3947,22.0671,0,0,1
12.470287,-6.265613,0,1,0
-6.06394,36.4405,0,0,1
-12.327523,15.221827,0,0,1
6.719812,4.688822,0,1,0
11.2826,39.593994,1,1,0
-9.18733,29.6553,0,0,1
-16.06884,28.307197,0,0,0
-29.835,23.9142,0,0,0
-11.1061,35.149799,0,0,1
-11.742998,15.925165,0,1,0
-11.65983,34.211372,0,1,0
-13.12469,28.473778,1,1,0
-9.20711,29.6942,0,0,1
-12.297238,15.223423,0,1,0
-18.026142,36.865238,0,0,0
-19.005444,46.657214,0,1,0
-29.8188,23.9729,0,0,0
5.238615,10.258085,0,1,1
10.927297,-3.511267,0,1,0
6.711267,-1.249092,0,1,1
6.732773,-1.305245,0,1,1
-15.876582,26.133883,0,0,0
-11.1291,35.200699,0,1,0
-18.973476,46.63606,0,0,0
-15.974148,35.342518,0,1,0
-21.7483,26.5266,0,0,0
14.87954,-7.8447,0,1,0
-18.2919,48.7134,0,0,1
11.265053,39.641792,0,1,0
-17.7929,31.8807,0,0,1
-6.877308,34.24556,0,0,1
10.886493,-2.640237,0,1,0
9.192732,5.697722,0,0,0
8.627145,35.007782,0,1,0
-15.845438,26.164093,0,0,0
-11.0794,35.151798,0,1,0
-1.684078,35.818054,0,0,1
-11.64765,34.247942,0,1,0
5.44978,-0.771613,0,1,0
-11.750448,15.877742,0,1,0
-1.759308,35.774685,0,0,0
-9.2096,29.6525,0,0,1
10.885173,-3.581577,0,0,0
-17.8097,31.9012,0,1,0
11.294715,-5.470245,0,0,0
13.413398,1.754712,0,0,0
-11.723247,15.885267,0,0,1
12.519647,-6.302163,0,1,0
10.903192,-3.555052,0,0,0
11.272553,-5.464043,0,0,1
13.371998,1.804517,0,0,0
-21.7213,26.457,0,0,0
-15.904765,35.323465,0,1,0
-27.6111,30.0127,0,0,0
9.588365,42.724842,1,1,0
11.34972,-5.469775,0,0,0
10.54417,-13.357877,0,1,0
-29.91,22.7619,0,0,0
-29.7993,23.9782,0,0,0
-8.049305,37.333698,0,0,0
-16.093583,28.286412,0,0,0
-29.001227,22.736919,0,0,0
-19.4141,28.745458,0,0,1
-11.70184,15.905035,0,0,0
11.34812,-5.520495,0,0,1
5.233795,10.288712,0,1,1
-19.427562,28.767247,0,0,0
5.399108,-0.733822,0,0,1
11.265932,39.576839,1,1,0
-11.776078,15.953628,0,0,0
-29.9347,22.7598,0,0,0
