CC,Site,PID,ICRAFPID,Lon,Lat
ET,Mega,ET-HbhZoG,Mega-13-1,38.333164,4.142667
ET,Dambidolo,ET-hf1JNN,Dambidolo-9-5,35.022572,8.578802
ET,Dambidolo,ET-hGM0RD,Dambidolo-4-1,34.98785,8.65488
ET,Merar,ET-IGa4bc,Merar-2-3,42.668991,9.594755
ET,Mega,ET-Io35lf,Mega-8-1,38.281349,4.21692
ET,Merar,ET-jHBSXV,Merar-13-1,42.731781,9.566375
ET,Kutaber,ET-JPPCqX,Kutaber-15-1,39.640095,11.30782
ET,Kutaber,ET-kGDRVV,Kutaber-9-5,39.616264,11.26763
ET,Dambidolo,ET-kQye5V,Dambidolo-10-2,35.024567,8.603598
ET,Merar,ET-KwN4pt,Merar-7-1,42.69437,9.618598
ET,Kutaber,ET-Lx7sf7,Kutaber-16-1,39.643738,11.328987
ET,Mega,ET-MCfLbU,Mega-9-1,38.311962,4.148507
ET,Mega,ET-MV3cNL,Mega-16-1,38.327602,4.207513
ET,Kutaber,ET-na9beQ,Kutaber-11-6,39.619114,11.299885
ET,Mega,ET-NH5Pwg,Mega-10-1,38.307098,4.177987
ET,Mega,ET-nLyI29,Mega-3-1,38.258347,4.194902
ET,Dambidolo,ET-OdgcsB,Dambidolo-15-1,35.051384,8.629188
ET,Kutaber,ET-OpLHP7,Kutaber-1-5,39.576839,11.265932
ET,Dambidolo,ET-PMdSNr,Dambidolo-12-1,35.024132,8.641408
ET,Kutaber,ET-QrpJ9x,Kutaber-12-8,39.615444,11.336217
ET,Dambidolo,ET-rAOBdx,Dambidolo-13-1,35.045807,8.577478
ET,Kutaber,ET-rYWM6z,Kutaber-4-3,39.572411,11.32647
ET,Dambidolo,ET-Slm40c,Dambidolo-3-1,34.983757,8.629852
ET,Dambidolo,ET-tat2D0,Dambidolo-16-1,35.053028,8.646072
ET,Kutaber,ET-TgfoDn,Kutaber-13-1,39.641792,11.265053
ET,Merar,ET-TYpjnR,Merar-6-2,42.688229,9.590382
ET,Dambidolo,ET-ud6xip,Dambidolo-2-1,34.985012,8.60079
ET,Dambidolo,ET-V1Xm9Q,Dambidolo-5-1,34.998875,8.581855
ET,Merar,ET-VA6GSK,Merar-15-1,42.737804,9.615457
ET,Mega,ET-VOsQwj,Mega-5-1,38.291641,4.149408
ET,Dambidolo,ET-vtebk6,Dambidolo-14-1,35.048473,8.60308
ET,Mega,ET-XcpBJw,Mega-6-1,38.288509,4.176502
ET,Mega,ET-XIQOUZ,Mega-1-1,38.25843,4.143862
ET,Merar,ET-XyWBPl,Merar-9-1,42.714642,9.564708
ET,Merar,ET-YkPZFs,Merar-12-1,42.71965,9.636297
ET,Kutaber,ET-YW2gbq,Kutaber-2-1,39.577347,11.281258
ET,Merar,ET-yZXwyG,Merar-4-1,42.660461,9.63305
ET,Mega,ET-ZU7W3Q,Mega-4-1,38.261177,4.21533
ET,Merar,ET-zvuOyN,Merar-14-1,42.724842,9.588365
GH,Ajumako,GH-0n8J4R,Ajumako-2-1,-0.780362,5.39579
GH,Kubeasi,GH-1x462h,Kubeasi-15-1,-1.24715,6.730477
GH,Kubeasi,GH-5WbuX6,Kubeasi-6-1,-1.292857,6.712507
GH,Lambussie,GH-5zRuRb,Lambussie-4-2,-2.682308,10.932693
GH,Kubeasi,GH-86Comj,Kubeasi-16-1,-1.243568,6.756287
GH,Kubeasi,GH-8CGPx0,Kubeasi-5-1,-1.28564,6.68448
GH,Lambussie,GH-8r0OC9,Lambussie-16-1,-2.616638,10.921477
GH,Ajumako,GH-9FNy3e,Ajumako-14-1,-0.707133,5.393727
GH,Lambussie,GH-9U3W7K,Lambussie-10-1,-2.640237,10.886493
GH,Lambussie,GH-ajq65Y,Lambussie-3-1,-2.681893,10.908013
GH,Ajumako,GH-BCABYj,Ajumako-12-1,-0.728883,5.434675
GH,Kubeasi,GH-BzCIhM,Kubeasi-12-1,-1.269927,6.758818
GH,Ajumako,GH-CMirxB,Ajumako-13-1,-0.714002,5.369818
GH,Ajumako,GH-cXotIk,Ajumako-6-1,-0.751177,5.398152
GH,Lambussie,GH-dIgXMO,Lambussie-5-1,-2.663827,10.868568
GH,Lambussie,GH-EcjVpi,Lambussie-12-1,-2.637042,10.929582
